IMG_ID,AUTHOR,LAT,LON,Prob_indoor,Prob_natural,Prob_urban,Top5classes,Faces,BW,DN,IMG_time,url,upload_time,photo_location_country,photo_location_city,passed,name,admin1,admin2,cc,S3_Label,S16_Label,S365_Label
9177807629,96884693@N00,30.04029,31.219542,0.0215430999238215,0.0033871142380945,0.975069724303836,,False,False,,1900-01-01,http://farm6.staticflickr.com/5451/9177807629_696ff347dc.jpg,,,,True,Al Jizah,,,EG,2.0,12.0,316.0
3067398557,32876243@N02,30.009429,31.206991,0.0013859904698492,0.0060971634001134,0.9925167803236548,,False,False,,1900-01-01,http://farm4.staticflickr.com/3044/3067398557_b9e69c3747.jpg,,,,True,Al Jizah,,,EG,2.0,11.0,242.0
2515637350,93475078@N00,30.005963,31.229892,0.0418379477853818,0.0125940202956513,0.9455680317614252,,False,False,,1900-01-01,http://farm3.staticflickr.com/2269/2515637350_2b9851be08.jpg,,,,True,Al Jizah,,,EG,2.0,11.0,5.0
297959701783836,mapillary,30.01053957311507,31.2181556224823,0.0,0.6795506477355957,0.2499798694625497,"[175, 319, 257, 112, 283]",False,False,,2017-05-04 17:34:25,https://graph.mapillary.com/297959701783836?fields=thumb_1024_url,,,,True,Al Jizah,,,EG,,,
125573805,34784158@N00,30.048219,31.22112700000001,0.0214257290828498,0.0023456163479522,0.9762286036298632,,False,False,,1900-01-01,http://farm1.staticflickr.com/49/125573805_c01cfc0fed.jpg,,,,True,Cairo,,,EG,2.0,15.0,47.0
48839460936,152221251@N07,29.981497,31.134241,0.0196929709054529,0.0,0.9419913981109858,"[199, 206, 28, 308, 23]",False,False,,2019-08-31 12:13:18,https://live.staticflickr.com/65535/48839460936_f626357771_o.jpg,,,,True,Al Jizah,,,EG,,,
LkXi7riw_94,shasha9,30.078251,31.312775,0.0,0.0,0.6108794398605824,"[273, 283, 270, 197, 364]",False,False,,1900-01-01,https://images.unsplash.com/photo-1611704346790-facbadb0b785,2021-01-26 23:40:23.829688,مصر,,True,Cairo,,,EG,,,
5316465400,56507803@N00,30.040715,31.268806,0.0019679469971877,0.00214674509151,0.9958853412711448,,False,False,,1900-01-01,http://farm6.staticflickr.com/5122/5316465400_8b173d797f.jpg,,,,True,Cairo,,,EG,2.0,12.0,7.0
515950995,77265976@N00,29.974693,31.138063,0.0509759909746739,0.4846422187367856,0.4643819113504372,,False,False,,1900-01-01,http://farm1.staticflickr.com/223/515950995_1d338fbf2c.jpg,,,,True,Al Jizah,,,EG,1.0,6.0,191.0
3657740969,30008935@N00,30.076224,31.23413,0.0006453002038171,0.0236940721001701,0.9756605498483406,,False,False,,1900-01-01,http://farm4.staticflickr.com/3577/3657740969_fc40447fbc.jpg,,,,True,Cairo,,,EG,2.0,14.0,33.0
