IMG_ID,AUTHOR,LAT,LON,Prob_indoor,Prob_natural,Prob_urban,Top5classes,Faces,BW,DN,IMG_time,url,upload_time,photo_location_country,photo_location_city,passed,name,admin1,admin2,cc,S3_Label,S16_Label,S365_Label
2784003599,38112256@N00,51.504221,-0.119165,0.0004545281456707,0.0040058628146653,0.9955396156262992,,False,False,,1900-01-01,http://farm4.staticflickr.com/3248/2784003599_54c2101fcd.jpg,,,,True,City of Westminster,Greater London,Greater London,GB,2.0,11.0,334.0
3Yp1ksO215c,aaltwegg,51.50431920000001,-0.0761666999999305,0.0,0.0529887191951274,0.5829337500035763,"[79, 192, 334, 288, 66]",False,False,,1900-01-01,https://images.unsplash.com/photo-1485207790513-4b425d0cbd6b,2017-01-23 21:44:53.897074,United Kingdom,London,True,City of London,Greater London,Greater London,GB,,,
QHGiSeA44OY,paolobendandi,51.5073509,-0.1277582999999819,0.0,0.0021173106506466,0.991973657393828,"[307, 125, 245, 334, 175]",False,False,,1900-01-01,https://images.unsplash.com/photo-1525291456586-5f4196c01574,2018-05-02 20:05:15.27177,United Kingdom,London,True,London,Greater London,Greater London,GB,,,
4m0CaRYH3aQ,louisnesbitt,51.507351,-0.1277579999999999,0.0,0.0147327184677124,0.9541185349225998,"[307, 334, 245, 125, 306]",False,False,,1900-01-01,https://images.unsplash.com/photo-1612646475529-9f406babe70b,2021-02-06 21:22:44.531097,United Kingdom,London,True,London,Greater London,Greater London,GB,,,
3502349989866362,mapillary,51.53977259873668,-0.1416796445846557,0.0090050837025046,0.011267083697021,0.9497539987787604,"[319, 112, 175, 139, 125]",False,False,,2015-04-04 15:19:03,https://graph.mapillary.com/3502349989866362?fields=thumb_1024_url,,,,True,Camden Town,Greater London,Greater London,GB,,,
Y9p6gE8O5F4,zoltantasi,51.507351,-0.1277579999999999,0.0,0.0168690178543329,0.9229203471913934,"[319, 112, 257, 164, 77]",False,False,,1900-01-01,https://images.unsplash.com/photo-1616983848157-cc0a7a59f825,2021-03-29 02:12:22.290776,United Kingdom,London,True,London,Greater London,Greater London,GB,,,
4oz2hww_35I,tromj,51.507721,-0.0991940999999769,0.0,0.0,0.6407312527298927,"[307, 125, 245, 103, 143]",False,False,,1900-01-01,https://images.unsplash.com/photo-1518806116336-4aa7be35d4f7,2018-02-16 18:41:59.987947,United Kingdom,London,True,City of London,Greater London,Greater London,GB,,,
X-OZj_9j7lA,amyb99,51.496807,-0.148477,0.0,0.0,0.5381209850311279,"[132, 178, 245, 67, 181]",False,False,,1900-01-01,https://images.unsplash.com/photo-1588168683489-b576866bb694,2020-04-29 14:11:27.196591,United Kingdom,,True,Chelsea,Greater London,Greater London,GB,,,
666622534523671,mapillary,51.51397737779247,-0.1270079612731933,0.2136027216911316,0.0,0.3100371435284614,"[286, 99, 4, 11, 119]",False,False,,2022-01-13 10:22:10,https://graph.mapillary.com/666622534523671?fields=thumb_1024_url,,,,True,London,Greater London,Greater London,GB,,,
3749515768509541,mapillary,51.51444809039151,-0.1095360517501831,0.0,0.0,0.9526422945782542,"[319, 112, 270, 67, 263]",False,False,,2016-06-17 11:07:45,https://graph.mapillary.com/3749515768509541?fields=thumb_1024_url,,,,True,Clerkenwell,Greater London,Greater London,GB,,,
114446485,16372307@N00,51.527115,-0.10437,0.0003952231356407,0.1831889701842044,0.8164158477588686,,False,False,,1900-01-01,http://farm1.staticflickr.com/34/114446485_5e2fa0e292.jpg,,,,True,Clerkenwell,Greater London,Greater London,GB,2.0,10.0,171.0
3940460769342852,mapillary,51.51017811507285,-0.1166814565658569,0.0,0.0,0.9131851457059385,"[112, 273, 319, 270, 283]",False,False,,2018-05-31 15:02:36,https://graph.mapillary.com/3940460769342852?fields=thumb_1024_url,,,,True,London,Greater London,Greater London,GB,,,
Rd4srfB2NV4,jhazan,51.521499,-0.136587,0.0,0.0,0.9234751034528016,"[307, 245, 334, 125, 67]",False,False,,1900-01-01,https://images.unsplash.com/photo-1584809086527-959773e93cbc,2020-03-21 16:54:54.66572,United Kingdom,,True,London,Greater London,Greater London,GB,,,
8742772906,27118242@N04,51.513303,-0.095154,4.551439650457567e-05,8.335898766009821e-05,0.999871191997312,,False,False,,1900-01-01,http://farm8.staticflickr.com/7293/8742772906_4fddb2c507.jpg,,,,True,City of London,Greater London,Greater London,GB,2.0,11.0,230.0
461238814972737,mapillary,51.51835715389316,-0.1114940643310546,0.0258990097790956,0.0968992933630943,0.7954068630933762,"[112, 257, 319, 175, 71]",False,False,,2016-06-17 11:04:24,https://graph.mapillary.com/461238814972737?fields=thumb_1024_url,,,,True,Clerkenwell,Greater London,Greater London,GB,,,
4746837231,59585091@N00,51.528263,-0.152156,0.0123425790764213,0.0581178781611555,0.9295396619799696,,False,False,,1900-01-01,http://farm5.staticflickr.com/4115/4746837231_9b78088c07.jpg,,,,True,Camden Town,Greater London,Greater London,GB,2.0,14.0,364.0
uSfckGkeVV0,abrkett,51.5073509,-0.1277582999999819,0.0,0.0079507632181048,0.9569852147251368,"[307, 245, 178, 125, 306]",False,False,,1900-01-01,https://images.unsplash.com/photo-1484336301471-031d6c7452dc,2017-01-13 19:39:00.637065,United Kingdom,London,True,London,Greater London,Greater London,GB,,,
211270007169227,mapillary,51.48182721936513,-0.1116389036178588,0.0,0.1829159874469041,0.7482073158025742,"[283, 175, 112, 319, 152]",False,False,,2014-07-22 19:08:50,https://graph.mapillary.com/211270007169227?fields=thumb_1024_url,,,,True,Kennington,Greater London,Greater London,GB,,,
pCgnfUztIOg,jon_chng,51.50516,-0.0755759999999554,0.0,0.061598714441061,0.7096833288669586,"[307, 79, 171, 125, 288]",False,False,,1900-01-01,https://images.unsplash.com/photo-1532662747691-31c463036ae9,2018-07-27 03:39:46.070207,United Kingdom,London,True,City of London,Greater London,Greater London,GB,,,
5249618964,70802554@N00,51.505407,-0.101966,0.0002607059969861,0.0029170109467315,0.9968223819910094,,False,False,,1900-01-01,http://farm6.staticflickr.com/5208/5249618964_e753d6689f.jpg,,,,True,City of London,Greater London,Greater London,GB,2.0,15.0,307.0
149893150461615,mapillary,51.52576375882364,-0.1167136430740356,0.0,0.0,0.8518087659031153,"[77, 178, 67, 220, 252]",False,False,,2017-02-22 11:43:59,https://graph.mapillary.com/149893150461615?fields=thumb_1024_url,,,,True,Clerkenwell,Greater London,Greater London,GB,,,
cwRQVLF7Kxo,eadesstudio,51.507351,-0.1277579999999999,0.0,0.0,0.8805201984941959,"[319, 132, 112, 270, 67]",False,False,,1900-01-01,https://images.unsplash.com/photo-1591626179389-8bfeb5776e31,2020-06-08 14:24:48.649979,United Kingdom,London,True,London,Greater London,Greater London,GB,,,
2723081302,21378578@N00,51.52307,-0.15939,0.1220830418164808,0.0032337812082374,0.8746831936573399,,False,False,,1900-01-01,http://farm4.staticflickr.com/3078/2723081302_7624449c50.jpg,,,,True,Camden Town,Greater London,Greater London,GB,2.0,10.0,112.0
XKx48iWuj1U,nukanchik,51.507351,-0.1277579999999999,0.0,0.0074457910377532,0.9855711967684327,"[66, 334, 347, 288, 307]",False,False,,1900-01-01,https://images.unsplash.com/photo-1592509357925-c0451b352aa3,2020-06-18 19:42:46.922234,United Kingdom,London,True,London,Greater London,Greater London,GB,,,
2935524903334275,mapillary,51.51173725331022,-0.0907981395721435,0.0,0.0454150214791297,0.8513438757508993,"[319, 175, 283, 112, 125]",False,False,,2015-09-11 11:59:31,https://graph.mapillary.com/2935524903334275?fields=thumb_1024_url,,,,True,City of London,Greater London,Greater London,GB,,,
RXbOc0OraxY,sens_design,51.50715556,-0.12794722,0.0,0.0,0.7793214730918407,"[230, 192, 214, 334, 270]",False,False,,1900-01-01,https://images.unsplash.com/photo-1560339891-76d49d8409d0,2019-06-12 11:45:21.954368,United Kingdom,Greater London,True,London,Greater London,Greater London,GB,,,
1574007696139675,mapillary,51.51746921503093,-0.1185858249664306,0.5120329260826111,0.0,0.139992918819189,"[302, 11, 119, 161, 25]",False,False,,2016-05-25 17:42:29,https://graph.mapillary.com/1574007696139675?fields=thumb_1024_url,,,,True,Clerkenwell,Greater London,Greater London,GB,,,
yTxsMvnnSFk,alessiop,51.5009883333333,-0.115997166666667,0.0,0.0,0.6283986121416092,"[181, 7, 125, 319, 256]",False,False,,1900-01-01,https://images.unsplash.com/photo-1588008072137-a9da5c85372b,2020-04-27 17:21:22.318695,Regno Unito,Londra,True,City of Westminster,Greater London,Greater London,GB,,,
5988879732,58853173@N00,51.505456,-0.117988,0.0765189510291293,0.1380469872576668,0.7854340699058753,,False,False,,1900-01-01,http://farm7.staticflickr.com/6145/5988879732_08941783bf.jpg,,,,True,City of Westminster,Greater London,Greater London,GB,2.0,10.0,66.0
4834653076,27964059@N03,51.508699,-0.128327,0.1269307240346791,0.0014188906631105,0.8716504240582736,,False,False,,1900-01-01,http://farm5.staticflickr.com/4107/4834653076_ea4936d0d9.jpg,,,,True,London,Greater London,Greater London,GB,2.0,12.0,53.0
187440609895409,mapillary,51.51611724479824,-0.1091337203979492,0.0372856259346008,0.0,0.8166617602109909,"[256, 112, 319, 71, 257]",False,False,,2016-06-17 11:06:49,https://graph.mapillary.com/187440609895409?fields=thumb_1024_url,,,,True,Clerkenwell,Greater London,Greater London,GB,,,
356025321,18378655@N00,51.507834,-0.127968,0.0007116218680111,3.241001964270074e-07,0.9992880492175292,,False,False,,1900-01-01,http://farm1.staticflickr.com/160/356025321_741e5a9916.jpg,,,,True,London,Greater London,Greater London,GB,2.0,12.0,316.0
CAcIlAqbNI8,bel2000a,51.4834479,-0.0820878999999999,0.0,0.0,0.7674027495086193,"[230, 91, 334, 273, 307]",False,False,,1900-01-01,https://images.unsplash.com/photo-1578719609598-33ee6f7b2179,2020-01-11 05:19:26.243596,United Kingdom,,True,Camberwell,Greater London,Greater London,GB,,,
xiuoQfSxLc4,laurachouette,51.507351,-0.1277579999999999,0.0,0.0,0.7486133314669132,"[143, 67, 334, 8, 245]",False,False,,1900-01-01,https://images.unsplash.com/photo-1587971645016-b81cefd31146,2020-04-27 07:14:49.710254,Vereinigtes Königreich,London,True,London,Greater London,Greater London,GB,,,
