IMG_ID,AUTHOR,LAT,LON,Prob_indoor,Prob_natural,Prob_urban,Top5classes,Faces,BW,DN,IMG_time,url,upload_time,photo_location_country,photo_location_city,passed,name,admin1,admin2,cc,S3_Label,S16_Label,S365_Label
3766411151,50495669@N00,55.760349,37.617874,0.0039484107651723,0.0097128997312125,0.9863387178174888,,False,False,,1900-01-01,http://farm3.staticflickr.com/2439/3766411151_1f9569b0c2.jpg,,,,True,Moscow,,,RU,2.0,13.0,136.0
8727750318,95132985@N08,55.748963,37.640823,0.0021445796414099,0.0136600394459662,0.9841953872973191,,False,False,,1900-01-01,http://farm8.staticflickr.com/7426/8727750318_f12410f6f0.jpg,,,,True,Zamoskvorech'ye,,,RU,2.0,11.0,252.0
6235288359,46571258@N00,55.75686999999999,37.6151,0.0113215369470367,0.0916082962288555,0.8970701539012111,,False,False,,1900-01-01,http://farm7.staticflickr.com/6176/6235288359_61f51343e1.jpg,,,,True,Moscow,,,RU,2.0,12.0,273.0
fYVlvzqbzgQ,fearvi,55.75393029999999,37.620795,0.0,0.0,0.8942932672798634,"[230, 330, 251, 91, 334]",False,False,,1900-01-01,https://images.unsplash.com/photo-1577586262593-fe9a6c3e7be7,2019-12-29 02:29:36.053332,Россия,Москва,True,Moscow,,,RU,,,
3108948184,57846634@N00,55.754234,37.619746,0.002536092079481,0.0119340099987397,0.9855299242256734,,False,False,,1900-01-01,http://farm4.staticflickr.com/3260/3108948184_b9dc1ce87d.jpg,,,,True,Moscow,,,RU,2.0,11.0,273.0
wApFmIJ3aIE,vonshnauzer,55.752124,37.621138,0.0,0.0,0.6251474469900131,"[304, 252, 84, 91, 348]",False,False,,1900-01-01,https://images.unsplash.com/photo-1613329969375-5faa6f501d69,2021-02-14 19:17:19.98049,Россия,Москва,True,Moscow,,,RU,,,
310421260685451,mapillary,55.75518823825272,37.60937690734863,0.0,0.0311899669468402,0.7180815413594246,"[319, 227, 4, 112, 175]",False,False,,2020-09-07 15:45:57,https://graph.mapillary.com/310421260685451?fields=thumb_1024_url,,,,True,Moscow,,,RU,,,
3538687862,22974618@N00,55.75455400000001,37.617015,0.0166401425319691,0.0046718581337472,0.9786880000741576,,False,False,,1900-01-01,http://farm3.staticflickr.com/2159/3538687862_2ece269b17.jpg,,,,True,Moscow,,,RU,2.0,15.0,125.0
ZLQczTZbfuo,belart84,55.755826,37.6173,0.0,0.0,0.9653325877152384,"[230, 226, 334, 91, 252]",False,False,,1900-01-01,https://images.unsplash.com/photo-1594805986553-e110b2d793f3,2020-07-15 09:40:51.163038,Россия,Москва,True,Moscow,,,RU,,,
142828937780778,mapillary,55.74310847194224,37.62496590614319,0.0349767729640007,0.0,0.8069167826324701,"[319, 11, 112, 4, 283]",False,False,,2020-03-21 20:14:45,https://graph.mapillary.com/142828937780778?fields=thumb_1024_url,,,,True,Zamoskvorech'ye,,,RU,,,
306127144507256,mapillary,55.74269175743467,37.63428926467896,0.0,0.0596048645675182,0.6676224283874035,"[319, 125, 175, 112, 4]",False,False,,2020-12-30 13:31:28,https://graph.mapillary.com/306127144507256?fields=thumb_1024_url,,,,True,Zamoskvorech'ye,,,RU,,,
fUdYmRPNOO0,kitolovsky,55.755826,37.6173,0.0,0.0,0.9798348241019994,"[154, 270, 125, 245, 77]",False,False,,1900-01-01,https://images.unsplash.com/photo-1602809981601-af0e7e233a6e,2020-10-16 01:01:49.039633,Россия,Москва,True,Moscow,,,RU,,,
794537838099643,mapillary,55.74029707259096,37.657576203346245,0.0,0.3424299955368042,0.5429033301770687,"[175, 319, 112, 257, 125]",False,False,,2020-09-23 09:08:27,https://graph.mapillary.com/794537838099643?fields=thumb_1024_url,,,,True,Taganskiy,,,RU,,,
RpFFYWoAqdA,kxmvr,55.7615902,37.60946,0.0726183354854583,0.0,0.919568866956979,"[227, 4, 11, 319, 47]",False,False,,1900-01-01,https://images.unsplash.com/photo-1618989993767-9cba04fc289a,2021-04-21 07:26:45.232201,Россия,Москва,True,Moscow,,,RU,,,
4095355800529617,mapillary,55.74125738000043,37.65710413455963,0.0,0.045131716877222,0.7361028604209423,"[125, 319, 112, 175, 245]",False,False,,2020-11-17 10:14:08,https://graph.mapillary.com/4095355800529617?fields=thumb_1024_url,,,,True,Taganskiy,,,RU,,,
5072106113,24872888@N08,55.736183,37.609033,0.00082264954426,0.3903213170684569,0.6088559995473926,,False,False,,1900-01-01,http://farm5.staticflickr.com/4088/5072106113_6a915f24cb.jpg,,,,True,Moscow,,,RU,2.0,12.0,254.0
JW9tSDfuY2g,nikolayv,55.755826,37.6172999,0.0,0.0,0.7041097506880759,"[79, 319, 273, 125, 8]",False,False,,1900-01-01,https://images.unsplash.com/photo-1531169035021-ff6d21a0fd7e,2018-07-09 20:44:27.194377,Russia,Moscow,True,Moscow,,,RU,,,
219495739987176,mapillary,55.73996186538418,37.65840232372285,0.0,0.0731893554329872,0.7855270281434059,"[158, 175, 112, 319, 257]",False,False,,2020-03-13 17:49:48,https://graph.mapillary.com/219495739987176?fields=thumb_1024_url,,,,True,Taganskiy,,,RU,,,
5161542849,20792787@N00,55.75261,37.630974,0.000343627965087,0.000409629633161,0.9992467611374778,,False,False,,1900-01-01,http://farm5.staticflickr.com/4147/5161542849_7dcaae8d71.jpg,,,,True,Moscow,,,RU,2.0,11.0,230.0
wrk9GGYyV0c,cherenkevich,55.755826,37.6173,0.0,0.0,0.9210462272167206,"[125, 112, 256, 245, 307]",False,False,,1900-01-01,https://images.unsplash.com/photo-1621684015266-f6b6e7edc277,2021-05-22 11:49:29.540163,Russia,Moscow,True,Moscow,,,RU,,,
S3BXe0iZQWE,mhlkv_,55.755826,37.6173,0.0799048617482185,0.0,0.7542107477784157,"[319, 47, 227, 11, 4]",False,False,,1900-01-01,https://images.unsplash.com/photo-1598864259521-970e4f0685b4,2020-08-31 09:03:11.817153,Russia,Moscow,True,Moscow,,,RU,,,
342874129,43501803@N00,55.735615,37.597961,0.0009185305190499,0.0014588664763124,0.9976226390642636,,False,False,,1900-01-01,http://farm1.staticflickr.com/160/342874129_2e7cbaaf01.jpg,,,,True,Moscow,,,RU,2.0,11.0,334.0
GkCJyJ8DzXg,awerin,55.75393,37.620795,0.0,0.0,0.867478059604764,"[230, 91, 334, 252, 226]",False,False,,1900-01-01,https://images.unsplash.com/photo-1587451152111-005c4994e641,2020-04-21 06:45:01.58384,Russia,Moskva,True,Moscow,,,RU,,,
199903575177551,mapillary,55.74075911023764,37.624804973602295,0.0,0.0,0.7474488168954849,"[319, 112, 154, 270, 125]",False,False,,2019-09-05 20:32:21,https://graph.mapillary.com/199903575177551?fields=thumb_1024_url,,,,True,Zamoskvorech'ye,,,RU,,,
rUFMvVZJvf0,nsokolov114,55.755826,37.6173,0.0,0.0787476021796464,0.8593218326568604,"[142, 140, 62, 258, 150]",False,False,,1900-01-01,https://images.unsplash.com/photo-1620458261713-f24d40d69208,2021-05-08 09:09:26.377655,Russia,Moscow,True,Moscow,,,RU,,,
AXOERRQyyKs,zvandrei,55.755826,37.6173,0.0185263957828283,0.0,0.8387153232470155,"[33, 272, 50, 263, 259]",False,False,,1900-01-01,https://images.unsplash.com/photo-1595507287504-83625092ff6a,2020-07-23 12:28:33.385583,Россия,Москва,True,Moscow,,,RU,,,
8013639167,23406300@N04,55.75153,37.617963,1.971203240670738e-06,2.537575142756709e-06,0.999995586614729,,False,False,,1900-01-01,http://farm9.staticflickr.com/8440/8013639167_b4b25b8c0e.jpg,,,,True,Moscow,,,RU,2.0,11.0,230.0
4xZu1RLgFIs,iziashnyi,55.755826,37.6172999,0.0,0.0,0.5038457661867142,"[273, 216, 218, 58, 66]",False,False,,1900-01-01,https://images.unsplash.com/photo-1580770780905-3d898521584b,2020-02-03 22:59:55.233393,Россия,Москва,True,Moscow,,,RU,,,
iHkt9X5YqX8,theem23,55.7615902,37.60946,0.0,0.0,0.9320553615689278,"[307, 245, 125, 178, 334]",False,False,,1900-01-01,https://images.unsplash.com/photo-1617545138960-de63f3c8cdc9,2021-04-04 14:06:02.798661,Russia,Moscow,True,Moscow,,,RU,,,
2871187449785801,mapillary,55.739744432142935,37.658311128616326,0.0,0.4788407385349274,0.4492498822510242,"[175, 319, 112, 125, 283]",False,False,,2020-12-02 11:36:15,https://graph.mapillary.com/2871187449785801?fields=thumb_1024_url,,,,True,Taganskiy,,,RU,,,
2tITinp82tA,letskick,55.755826,37.6173,0.0,0.0039509595371782,0.986134055769071,"[112, 319, 257, 175, 276]",False,False,,1900-01-01,https://images.unsplash.com/photo-1591122519529-8721427a8a83,2020-06-02 18:29:36.871652,Россия,Москва,True,Moscow,,,RU,,,
