IMG_ID,AUTHOR,LAT,LON,Prob_indoor,Prob_natural,Prob_urban,Top5classes,Faces,BW,DN,IMG_time,url,upload_time,photo_location_country,photo_location_city,passed,name,admin1,admin2,cc,S3_Label,S16_Label,S365_Label
473652580514095,mapillary,-33.863925713825175,151.20711386203766,0.0,0.1165196523070335,0.7928588315844536,"[112, 319, 125, 175, 256]",False,False,,2015-05-03 04:48:36,https://graph.mapillary.com/473652580514095?fields=thumb_1024_url,,,,True,Sydney,City of Sydney,City of Sydney,AU,,,
1399488310435228,mapillary,-33.89092411179329,151.2373262643814,0.0,0.2871421836316585,0.4139113053679466,"[127, 141, 283, 175, 153]",False,False,,2020-07-24 12:04:16,https://graph.mapillary.com/1399488310435228?fields=thumb_1024_url,,,,True,Woollahra,Woollahra,Woollahra,AU,,,
477281530026234,mapillary,-33.8734487236015,151.20041906833652,0.0,0.0399164222180843,0.6725056096911429,"[273, 237, 266, 171, 57]",False,False,,2019-12-17 10:42:00,https://graph.mapillary.com/477281530026234?fields=thumb_1024_url,,,,True,Haymarket,City of Sydney,City of Sydney,AU,,,
spoI5fVr5q4,themila,-33.86882,151.209296,0.0,0.0,0.6230729296803474,"[245, 67, 227, 178, 32]",False,False,,1900-01-01,https://images.unsplash.com/photo-1591620340725-d859290f58c4,2020-06-08 12:49:19.105517,Australië,Sydney,True,Sydney,City of Sydney,City of Sydney,AU,,,
829906620942450,mapillary,-33.911356511649515,151.25336050987244,0.0,0.1904768794775009,0.6705593410879374,"[283, 175, 257, 319, 112]",False,False,,2018-01-07 10:12:12,https://graph.mapillary.com/829906620942450?fields=thumb_1024_url,,,,True,Randwick,Randwick,Randwick,AU,,,
898911397321021,mapillary,-33.84642697599368,151.2118721008301,0.4948121607303619,0.0,0.316291275434196,"[317, 227, 4, 5, 109]",False,False,,2018-07-23 15:13:30,https://graph.mapillary.com/898911397321021?fields=thumb_1024_url,,,,True,Milsons Point,North Sydney,North Sydney,AU,,,
3292179241,48011145@N00,-33.838892,151.194781,0.0035360563369959,0.1656787874035501,0.8307850791302052,,False,False,,1900-01-01,http://farm4.staticflickr.com/3350/3292179241_8a537ed75f.jpg,,,,True,Wollstonecraft,North Sydney,North Sydney,AU,2.0,14.0,364.0
iFhxszjD7Z4,geff_neil,-33.86882,151.209296,0.0,0.0315737780183553,0.9414841532707214,"[171, 66, 12, 347, 10]",False,False,,1900-01-01,https://images.unsplash.com/photo-1538759668184-d8fbf70798e6,2018-10-05 17:16:56.545177,Australia,Sydney,True,Sydney,City of Sydney,City of Sydney,AU,,,
8567033001,26085795@N02,-33.863334,151.207499,0.0067030245095551,0.0017098062031166,0.9915872464084928,,False,False,,1900-01-01,http://farm9.staticflickr.com/8518/8567033001_4a5fa8443a.jpg,,,,True,Sydney,City of Sydney,City of Sydney,AU,2.0,15.0,256.0
2844199207,94045383@N00,-33.885375,151.207529,5.2729097665522855e-05,0.0003860702509739,0.9995611571137386,,False,False,,1900-01-01,http://farm4.staticflickr.com/3247/2844199207_7de66fced1.jpg,,,,True,Haymarket,City of Sydney,City of Sydney,AU,2.0,11.0,214.0
gkYDfgHAUXI,kevmur,-33.86882,151.209296,0.0,0.0,0.9077534079551696,"[171, 218, 266, 58, 79]",False,False,,1900-01-01,https://images.unsplash.com/photo-1605578685792-f71cb949806b,2020-11-17 02:06:33.886278,Australia,Sydney,True,Sydney,City of Sydney,City of Sydney,AU,,,
